# expov: Extreme poverty
Region,1990,1993,1996,1999,2002,2005,2008,2010,2011,2015,,,,,,,,,,,,,
eap,56.2,50.7,35.9,35.6,27.6,17.1,14.3,12.5,,,,,,,,,,,,,,,
eca,1.9,2.9,3.9,3.8,2.3,1.3,0.5,0.7,,,,,,,,,,,,,,,
lac,12.2,11.4,11.1,11.9,11.9,8.7,6.5,5.5,,,,,,,,,,,,,,,
mena,5.8,4.8,4.8,5.0,4.2,3.5,2.7,2.4,,,,,,,,,,,,,,,
sa,53.8,51.7,48.6,45.1,44.3,39.4,36.0,31.0,,,,,,,,,,,,,,,
ssa,56.5,59.4,58.1,57.9,55.7,52.3,49.2,48.5,,,,,,,,,,,,,,,
world,43.1,41.0,34.8,34.1,30.8,25.1,22.7,20.6,,,,

# malnu: Child Malnutrition
Region,1990,1995,2000,2005,2010,2011,2015,,,,,,,,,,,,,,,,
eap,20.1,15.0,11.1,8.1,5.8,5.5,,,,,,,,,,,,,,,,,
eca,10.7,6.8,4.2,2.6,1.6,1.5,,,,,,,,,,,,,,,,,
lac,7.2,5.9,4.8,3.9,3.2,3.1,,,,,,,,,,,,,,,,,
mena,11.9,10.3,8.9,7.6,6.5,6.3,,,,,,,,,,,,,,,,,
sa,51.9,47.3,42.7,38.3,34.0,33.2,,,,,,,,,,,,,,,,,
ssa,29.2,27.2,25.3,23.5,21.7,21.4,,,,,,,,,,,,,,,,,
world,28.0,25.3,22.6,20.2,17.8,17.4,,,,,,,,,,,,,,,,,

# predu: Primary Education
Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2015
eap,100.0,99.6,95.3,95.9,96.6,93.2,90.9,91.7,93.4,95.1,97.1,99.1,98.3,97.8,97.2,96.6,96.5,97.3,97.0,97.2,97.3,,
eca,94.8,94.5,95.3,94.6,94.3,93.4,92.8,93.1,93.0,92.7,92.7,95.1,96.1,95.5,96.7,98.7,97.1,96.9,96.6,97.6,98.1,98.4,
lac,83.4,84.3,86.4,86.5,86.4,88.1,89.9,91.6,93.9,95.6,97.1,97.8,99.3,98.4,97.7,98.3,99.5,100.8,101.0,101.4,101.6,101.6,
mena,76.0,76.9,78.5,80.0,80.1,82.0,82.5,82.9,83.3,83.8,82.8,84.6,85.6,87.5,90.9,92.1,89.2,88.8,91.1,89.6,90.6,90.5,
sa,61.7,62.8,64.0,65.0,66.1,67.1,66.5,65.9,65.2,64.6,67.0,67.7,70.4,73.9,77.6,78.9,79.3,84.6,85.7,87.2,87.9,,
ssa,51.8,52.0,52.2,53.0,52.4,52.4,52.9,52.9,52.4,52.6,53.2,54.4,55.9,57.3,59.0,61.4,64.5,64.6,65.6,67.9,70.2,70.4,
world,78.1,78.3,77.8,78.4,78.8,78.3,77.6,77.9,78.4,79.0,80.4,81.6,82.3,83.2,84.4,85.0,85.4,87.2,87.7,88.5,89.2,89.1,

# imort: Infant Mortality
Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2015
eap,41.6,41.1,40.6,40.1,39.5,38.4,37.4,36,34.4,32.7,31.2,29.7,28,26.6,25.2,24,22.7,21.5,20.3,19.1,18,17,
eca,39.5,39,39,39,38.6,37.6,36.1,34.1,32.1,30.1,28.5,27,25.8,24.8,23.8,22.9,21.9,21,20,19.1,18.3,17.5,
lac,41.8,40.4,39.1,37.8,36.5,35.1,33.7,32.3,30.8,29.5,28.1,26.7,25.5,24.1,22.8,21.6,20.6,19.5,18.6,17.7,17.3,16.2,
mena,53.5,51.6,49.9,48.2,46.6,44.9,43.3,41.9,40.6,39.2,37.8,36.4,35.1,34,32.9,31.9,30.8,29.7,28.7,27.7,26.9,26.1,
sa,84.8,82.9,81,79.2,77.3,75.5,73.3,71.4,69.5,67.8,65.9,64,62.2,60.3,58.6,56.8,55.3,53.9,52.5,51.1,49.7,48.3,
ssa,106.7,106.2,105.6,104.8,103.9,102.6,101,99.4,97.7,95.7,93.6,91.3,89,86.8,84.6,82.4,80.2,77.9,75.6,73.5,71.4,69.4,
world,65.8,65.3,64.9,64.6,64,63.1,61.7,60.2,58.5,56.8,55.2,53.7,52.2,50.9,49.6,48.3,46.9,45.5,44.1,42.8,41.6,40.4,

# immun: Child Immunization
Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2015
eap,89.3,85.8,82.4,78.8,75.2,77.9,82.5,81.7,82.1,82.7,82.5,83.1,83.0,83.7,85.4,85.4,89.9,90.8,93.0,94.6,95.1,95.1,
eca,,,81.6,82.8,81.0,82.3,85.1,89.0,90.0,91.2,93.1,94.6,92.2,90.8,92.4,95.1,96.3,96.3,96.1,94.0,92.9,93.8,
lac,76.0,80.5,82.6,82.0,82.5,85.1,84.4,89.2,90.5,91.6,92.9,94.4,93.3,94.7,94.0,93.4,93.9,93.9,94.5,94.5,93.3,93.1,
mena,82.6,81.5,83.6,83.8,83.3,84.4,86.8,86.2,90.4,90.3,90.4,89.5,88.3,87.9,88.0,87.6,87.5,87.8,88.0,89.8,89.8,89.4,
sa,55.9,46.7,52.8,59.2,65.8,68.8,64.0,56.6,54.4,56.2,57.1,58.1,57.8,60.3,63.8,68.5,73.2,76.4,76.6,75.6,76.7,76.6,
ssa,57.2,53.6,50.2,51.2,54.8,54.3,54.0,53.7,52.6,49.7,52.8,52.7,53.7,56.2,58.7,60.8,63.6,65.7,68.1,72.7,74.9,74.3,
world,71.7,67.2,68.0,68.8,70.1,71.9,71.6,69.6,69.1,69.3,70.3,70.8,70.5,71.9,73.9,75.8,79.1,80.7,81.9,83.1,83.9,83.7,

# mmort: Maternal Mortality Rate
Region,1990,1995,2000,2005,2010,2011,2015,,,,,,,,,,,,,,,,
eap,220,160,130,100,83,,,,,,,,,,,,,,,,,,
eca,70,61,49,36,32,,,,,,,,,,,,,,,,,,
lac,140,120,100,88,81,,,,,,,,,,,,,,,,,,
mena,220,170,130,99,81,,,,,,,,,,,,,,,,,,
sa,620,500,410,300,220,,,,,,,,,,,,,,,,,,
ssa,850,820,740,630,500,,,,,,,,,,,,,,,,,,
world,440,400,350,290,230,,,,,,,,,,,,,,,,,,

# drink: Clean Water Access
Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2015
eap,68.40,69.40,71.07,71.87,73.41,74.45,75.48,76.42,78.03,79.03,80.09,81.64,82.52,83.54,84.38,86.03,86.27,87.81,88.14,88.89,89.85,,
eca,90.31,90.36,91.07,90.63,91.57,91.77,91.98,92.34,92.52,92.59,92.98,93.25,93.52,93.56,94.29,94.53,94.83,95.05,95.38,95.75,95.96,,
lac,85.68,85.89,86.51,87.18,87.61,87.99,88.57,88.99,89.46,90.12,90.43,90.77,90.90,91.64,92.05,92.57,92.91,93.40,93.26,93.55,94.21,,
mena,86.32,86.64,86.70,87.15,86.90,86.89,87.19,87.21,87.69,87.58,87.41,87.45,88.54,88.56,88.49,88.38,88.57,88.33,88.52,88.70,88.64,,
sa,71.43,71.84,72.71,73.59,75.13,75.25,76.10,77.82,78.68,79.60,80.57,81.42,82.37,83.93,84.05,85.09,86.68,87.55,88.41,89.20,90.05,,
ssa,48.36,48.92,49.51,49.91,50.63,51.04,51.86,52.71,53.24,54.10,54.76,55.42,56.26,56.76,57.49,58.32,58.77,59.49,60.22,60.85,61.13,,
world,71.24,71.83,72.88,73.47,74.80,75.28,76.03,76.97,77.90,78.64,79.38,80.27,80.99,81.89,82.36,83.35,83.96,84.84,85.17,85.74,86.37,,

# sanit: Sanitation Access
Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2015
eap,29.8,32.1,34.1,36.0,37.6,39.2,41.1,42.9,44.7,46.6,48.2,50.0,52.5,54.2,56.1,57.8,59.4,61.1,62.8,64.7,65.5,,
eca,79.6,79.4,79.6,79.8,81.6,81.7,82.0,82.0,81.9,82.1,82.5,82.6,82.7,82.9,83.2,83.4,83.8,84.0,84.2,84.7,84.4,,
lac,67.8,68.2,69.2,69.6,70.6,71.5,71.7,72.5,73.4,73.8,74.7,75.1,75.8,76.6,76.9,77.4,78.5,78.8,77.6,78.0,78.7,,
mena,72.5,72.9,73.2,74.0,75.4,76.3,77.2,78.1,79.1,80.1,81.3,82.0,83.3,84.2,85.2,86.2,86.8,87.3,88.0,88.0,88.2,,
sa,21.5,21.8,22.7,23.7,23.9,24.9,25.8,26.9,28.0,28.9,29.1,30.1,31.0,32.0,33.1,34.1,35.0,35.4,36.1,37.1,38.2,,
ssa,25.7,25.8,25.7,25.8,26.0,26.3,26.2,26.5,27.0,27.2,27.6,28.0,28.3,28.5,28.9,29.0,29.4,29.7,30.0,30.4,30.7,,
world,36.7,37.8,38.9,40.0,41.5,42.4,43.4,44.5,45.5,46.6,47.4,48.4,49.7,50.7,51.7,52.7,53.6,54.3,54.7,55.6,56.2,,
